date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:53	33125/33125	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-8165%22	https://demo.themesberg.com/leo/index.html	demo.themesberg.com/leo/index.html	(from )
11:21:55	35/35	---M--	200	added ('OK')	text/plain	etag:%225e42b95e-23%22	https://demo.themesberg.com/robots.txt		(from )
11:21:55	3268/3268	---M--	200	added ('OK')	image/png	etag:%225e42b95a-cc4%22	https://demo.themesberg.com/leo/assets/img/favicon/apple-touch-icon.png	demo.themesberg.com/leo/assets/img/favicon/apple-touch-icon.png	(from https://demo.themesberg.com/leo/index.html)
11:21:56	1134/1134	---M--	200	added ('OK')	image/png	etag:%225e42b95a-46e%22	https://demo.themesberg.com/leo/assets/img/favicon/favicon-32x32.png	demo.themesberg.com/leo/assets/img/favicon/favicon-32x32.png	(from https://demo.themesberg.com/leo/index.html)
11:21:57	776/776	---M--	200	added ('OK')	image/png	etag:%225e42b95a-308%22	https://demo.themesberg.com/leo/assets/img/favicon/favicon-16x16.png	demo.themesberg.com/leo/assets/img/favicon/favicon-16x16.png	(from https://demo.themesberg.com/leo/index.html)
11:21:58	432/432	---M--	200	added ('OK')	application/octet-stream	etag:%225e42b95a-1b0%22	https://demo.themesberg.com/leo/assets/img/favicon/site.webmanifest	demo.themesberg.com/leo/assets/img/favicon/site.webmanifest	(from https://demo.themesberg.com/leo/index.html)
11:21:59	1619/1619	---M--	200	added ('OK')	image/svg+xml	etag:%225e42b95a-653%22	https://demo.themesberg.com/leo/assets/img/favicon/safari-pinned-tab.svg	demo.themesberg.com/leo/assets/img/favicon/safari-pinned-tab.svg	(from https://demo.themesberg.com/leo/index.html)
11:22:01	56842/56842	---MCZ	200	added ('OK')	text/css	etag:W/%225e42b95a-de0a%22	https://demo.themesberg.com/leo/node_modules/@fortawesome/fontawesome-free/css/all.min.css	demo.themesberg.com/leo/node_modules/@fortawesome/fontawesome-free/css/all.min.css	(from https://demo.themesberg.com/leo/index.html)
11:22:02	2258/2258	---MCZ	200	added ('OK')	text/css	etag:W/%225e42b95c-8d2%22	https://demo.themesberg.com/leo/node_modules/prismjs/themes/prism.css	demo.themesberg.com/leo/node_modules/prismjs/themes/prism.css	(from https://demo.themesberg.com/leo/index.html)
11:22:03	3580/3580	---MCZ	200	added ('OK')	text/css	etag:W/%225e42b95b-dfc%22	https://demo.themesberg.com/leo/node_modules/lightbox2/dist/css/lightbox.css	demo.themesberg.com/leo/node_modules/lightbox2/dist/css/lightbox.css	(from https://demo.themesberg.com/leo/index.html)
11:22:04	597287/597287	---MCZ	200	added ('OK')	text/css	etag:W/%225e42b95a-91d27%22	https://demo.themesberg.com/leo/css/leo.css	demo.themesberg.com/leo/css/leo.css	(from https://demo.themesberg.com/leo/index.html)
11:22:04	264/264	---M--	200	added ('OK')	image/svg+xml	etag:%225e42b95a-108%22	https://demo.themesberg.com/leo/assets/img/brand/light.svg	demo.themesberg.com/leo/assets/img/brand/light.svg	(from https://demo.themesberg.com/leo/index.html)
11:22:05	267/267	---M--	200	added ('OK')	image/svg+xml	etag:%225e42b95a-10b%22	https://demo.themesberg.com/leo/assets/img/brand/dark.svg	demo.themesberg.com/leo/assets/img/brand/dark.svg	(from https://demo.themesberg.com/leo/index.html)
11:22:07	31516/31516	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-7b1c%22	https://demo.themesberg.com/leo/html/about.html	demo.themesberg.com/leo/html/about.html	(from https://demo.themesberg.com/leo/index.html)
11:22:08	19513/19513	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-4c39%22	https://demo.themesberg.com/leo/html/projects.html	demo.themesberg.com/leo/html/projects.html	(from https://demo.themesberg.com/leo/index.html)
11:22:09	20710/20710	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-50e6%22	https://demo.themesberg.com/leo/html/blog.html	demo.themesberg.com/leo/html/blog.html	(from https://demo.themesberg.com/leo/index.html)
11:22:10	17209/17209	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-4339%22	https://demo.themesberg.com/leo/html/contact.html	demo.themesberg.com/leo/html/contact.html	(from https://demo.themesberg.com/leo/index.html)
11:22:11	23872/23872	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-5d40%22	https://demo.themesberg.com/leo/html/services.html	demo.themesberg.com/leo/html/services.html	(from https://demo.themesberg.com/leo/index.html)
11:22:12	19678/19678	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-4cde%22	https://demo.themesberg.com/leo/html/case-study.html	demo.themesberg.com/leo/html/case-study.html	(from https://demo.themesberg.com/leo/index.html)
11:22:12	22920/22920	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-5988%22	https://demo.themesberg.com/leo/html/team.html	demo.themesberg.com/leo/html/team.html	(from https://demo.themesberg.com/leo/index.html)
11:22:14	31592/31592	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-7b68%22	https://demo.themesberg.com/leo/html/blog-single.html	demo.themesberg.com/leo/html/blog-single.html	(from https://demo.themesberg.com/leo/index.html)
11:22:15	19924/19924	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-4dd4%22	https://demo.themesberg.com/leo/html/careers.html	demo.themesberg.com/leo/html/careers.html	(from https://demo.themesberg.com/leo/index.html)
11:22:15	23424/23424	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-5b80%22	https://demo.themesberg.com/leo/html/career-single.html	demo.themesberg.com/leo/html/career-single.html	(from https://demo.themesberg.com/leo/index.html)
11:22:17	5709/5709	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-164d%22	https://demo.themesberg.com/leo/html/404.html	demo.themesberg.com/leo/html/404.html	(from https://demo.themesberg.com/leo/index.html)
11:22:18	5779/5779	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-1693%22	https://demo.themesberg.com/leo/html/500.html	demo.themesberg.com/leo/html/500.html	(from https://demo.themesberg.com/leo/index.html)
11:22:19	16229/16229	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-3f65%22	https://demo.themesberg.com/leo/html/legal.html	demo.themesberg.com/leo/html/legal.html	(from https://demo.themesberg.com/leo/index.html)
11:22:20	13672/13672	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-3568%22	https://demo.themesberg.com/leo/html/blank.html	demo.themesberg.com/leo/html/blank.html	(from https://demo.themesberg.com/leo/index.html)
11:22:21	16800/16800	---MCZ	200	added ('OK')	text/html	etag:W/%225e42b95a-41a0%22	https://demo.themesberg.com/leo/docs/introduction.html	demo.themesberg.com/leo/docs/introduction.html	(from https://demo.themesberg.com/leo/index.html)
11:22:21	1321/1321	---M--	200	added ('OK')	image/svg+xml	etag:%225e42b95a-529%22	https://demo.themesberg.com/leo/assets/img/spinner.svg	demo.themesberg.com/leo/assets/img/spinner.svg	(from https://demo.themesberg.com/leo/index.html)
